Date,Previous 14 EMA,Previous 50 EMA,Target Exposure,Shares Traded,Shares Held,Cash,Portfolio Value
2020-01-02,,,0,0.0,0.0,20000.0,20000.0
2020-01-03,,,0,0.0,0.0,20000.0,20000.0
2020-01-06,,,0,0.0,0.0,20000.0,20000.0
2020-01-07,,,0,0.0,0.0,20000.0,20000.0
2020-01-08,,,0,0.0,0.0,20000.0,20000.0
2020-01-09,,,0,0.0,0.0,20000.0,20000.0
2020-01-10,,,0,0.0,0.0,20000.0,20000.0
2020-01-13,,,0,0.0,0.0,20000.0,20000.0
2020-01-14,,,0,0.0,0.0,20000.0,20000.0
2020-01-15,,,0,0.0,0.0,20000.0,20000.0
2020-01-16,,,0,0.0,0.0,20000.0,20000.0
2020-01-17,,,0,0.0,0.0,20000.0,20000.0
2020-01-21,,,0,0.0,0.0,20000.0,20000.0
2020-01-22,,,0,0.0,0.0,20000.0,20000.0
2020-01-23,298.1684090750558,,0,0.0,0.0,20000.0,20000.0
2020-01-24,298.72851882207965,,0,0.0,0.0,20000.0,20000.0
2020-01-27,298.85541455465653,,0,0.0,0.0,20000.0,20000.0
2020-01-28,298.32490827158773,,0,0.0,0.0,20000.0,20000.0
2020-01-29,298.27712753329274,,0,0.0,0.0,20000.0,20000.0
2020-01-30,298.2029050601037,,0,0.0,0.0,20000.0,20000.0
2020-01-31,298.2673997174545,,0,0.0,0.0,20000.0,20000.0
2020-02-03,297.6001668319502,,0,0.0,0.0,20000.0,20000.0
2020-02-04,297.31236870878394,,0,0.0,0.0,20000.0,20000.0
2020-02-05,297.6633261556857,,0,0.0,0.0,20000.0,20000.0
2020-02-06,298.42933009664637,,0,0.0,0.0,20000.0,20000.0
2020-02-07,299.2293248532915,,0,0.0,0.0,20000.0,20000.0
2020-02-10,299.70631656556094,,0,0.0,0.0,20000.0,20000.0
2020-02-11,300.4211050534341,,0,0.0,0.0,20000.0,20000.0
2020-02-12,301.11107994604913,,0,0.0,0.0,20000.0,20000.0
2020-02-13,301.97158666938844,,0,0.0,0.0,20000.0,20000.0
2020-02-14,302.6735969559179,,0,0.0,0.0,20000.0,20000.0
2020-02-18,303.3476349399205,,0,0.0,0.0,20000.0,20000.0
2020-02-19,303.8260720260561,,0,0.0,0.0,20000.0,20000.0
2020-02-20,304.4363921426341,,0,0.0,0.0,20000.0,20000.0
2020-02-21,304.79639906918914,,0,0.0,0.0,20000.0,20000.0
2020-02-24,304.6866724875681,,0,0.0,0.0,20000.0,20000.0
2020-02-25,303.2473907327153,,0,0.0,0.0,20000.0,20000.0
2020-02-26,300.81261493710326,,0,0.0,0.0,20000.0,20000.0
2020-02-27,298.562705406427,,0,0.0,0.0,20000.0,20000.0
2020-02-28,294.91249898244513,,0,0.0,0.0,20000.0,20000.0
2020-03-02,291.5970702444212,,0,0.0,0.0,20000.0,20000.0
2020-03-03,290.2829882222484,,0,0.0,0.0,20000.0,20000.0
2020-03-04,288.0685352678757,,0,0.0,0.0,20000.0,20000.0
2020-03-05,287.6831317699193,,0,0.0,0.0,20000.0,20000.0
2020-03-06,286.0851342852322,,0,0.0,0.0,20000.0,20000.0
2020-03-09,284.0925249091804,,0,0.0,0.0,20000.0,20000.0
2020-03-10,279.5423200091803,,0,0.0,0.0,20000.0,20000.0
2020-03-11,277.3234042293104,,0,0.0,0.0,20000.0,20000.0
2020-03-12,273.6915466862357,,0,0.0,0.0,20000.0,20000.0
